module_code,xbrl_schema_ref,from_date,to_date,version
COREP_LCR_DA_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_lcr_da_con.json,30-Apr-20,29-Jun-21,2.4.1
COREP_LCR_DA_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_lcr_da_ind.json,30-Apr-20,29-Jun-21,2.4.1
COREP_LCR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_lcr_ind.json,30-Apr-20,29-Jun-21,2.4.1
COREP_LE_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_le_con.json,31-Mar-20,29-Jun-21,2.4.1
COREP_LE_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_le_ind.json,31-Mar-20,29-Jun-21,2.4.1
COREP_LR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_lr_con.json,31-Mar-20,29-Jun-21,2.4.1
COREP_LR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_lr_ind.json,31-Mar-20,29-Jun-21,2.4.1
COREP_NSFR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_nsfr_con.json,30-Apr-20,29-Jun-21,2.4.1
COREP_NSFR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_nsfr_ind.json,30-Apr-20,29-Jun-21,2.4.1
COREP_OF_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_of_con.json,31-Mar-20,29-Jun-21,2.4.1
COREP_OF_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-11-15/mod/corep_of_ind.json,31-Mar-20,29-Jun-21,2.4.1
FINREP9_Con_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014/2019-11-15/mod/finrep9_con_gaap.json,30-Jun-20,29-Jun-21,2.3.1
FINREP9_Con_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014/2019-11-15/mod/finrep9_con_ifrs.json,30-Jun-20,29-Jun-21,2.3.1
FINREP9_Ind_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014-ind/2019-11-15/mod/finrep9_ind_gaap.json,30-Jun-20,29-Jun-21,2.3.1
FINREP9_Ind_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014-ind/2019-11-15/mod/finrep9_ind_ifrs.json,30-Jun-20,29-Jun-21,2.3.1
FP_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/fp/gl-2019-05/2020-02-29/mod/fp_con.json,31-Dec-20,31-Dec-20,2.0.0
FP_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/fp/gl-2019-05/2020-02-29/mod/fp_ind.json,31-Dec-20,31-Dec-20,2.0.0
REM,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/rem/gl-2014-07/2020-02-29/mod/rem.json,31-Dec-19,30-Dec-20,1.0.0
REM_HE,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/rem/gl-2014-07/2020-02-29/mod/rem_he.json,31-Dec-19,30-Dec-20,1.0.0
PSD_FRP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/pay/gl-2020-01/2020-02-29/mod/psd_frp.json,31-Dec-20,30-Dec-22,1.0.0
FP_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/fp/gl-2019-05/2020-06-30/mod/fp_con.json,31-Dec-20,30-Dec-22,2.0.1
FP_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/fp/gl-2019-05/2020-06-30/mod/fp_ind.json,31-Dec-20,30-Dec-22,2.0.1
RESOL_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/res/cir-2018-1624/2020-06-30/mod/resol_con.json,31-Dec-20,30-Dec-21,1.1.1
RESOL_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/res/cir-2018-1624/2020-06-30/mod/resol_ind.json,31-Dec-20,30-Dec-21,1.1.1
SBPIMV_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2020-06-30/mod/sbpimv_con.json,30-Sep-20,29-Sep-21,1.1.0
SBPIMV_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2020-06-30/mod/sbpimv_ind.json,30-Sep-20,29-Sep-21,1.1.0
SBP_CR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2020-06-30/mod/sbp_cr_con.json,30-Sep-20,29-Sep-21,1.1.0
SBP_CR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2020-06-30/mod/sbp_cr_ind.json,30-Sep-20,29-Sep-21,1.1.0
SBP_RM_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2020-06-30/mod/sbp_rm_con.json,30-Sep-20,29-Sep-21,1.1.0
SBP_RM_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/sbp/cir-2070-2016/2020-06-30/mod/sbp_rm_ind.json,30-Sep-20,29-Sep-21,1.1.0
COVID19_Con_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrepcovid19/gl-2020-07/2020-06-30/mod/covid19_con_gaap.json,30-Jun-20,30-Dec-22,1.0.0
COVID19_Con_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrepcovid19/gl-2020-07/2020-06-30/mod/covid19_con_ifrs.json,30-Jun-20,30-Dec-22,1.0.0
COVID19_Ind_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrepcovid19/gl-2020-07/2020-06-30/mod/covid19_ind_gaap.json,30-Jun-20,30-Dec-22,1.0.0
